house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
8376,3,HOUSE,APARTMENT_BLOCK,Jette,1090,Henri Van Bortonnestraat,7,,0,2.0,435000.0,0,1,9.0,0,0,TO_RENOVATE,1,18,0,93.0,147.0,93.0,
804,1,APARTMENT,APARTMENT,BORGERHOUT,2140,Stenenbrug,101,601,1,,149500.0,0,1,20.0,0,0,GOOD,0,0,0,,48.0,,
10247,1,APARTMENT,APARTMENT,Hasselt,3500,Lombaardstraat,11,2.05,0,,249000.0,0,1,15.0,0,0,GOOD,0,0,0,,65.0,,
739,1,APARTMENT,APARTMENT,Bruxelles,1000,Rue de Dinant,41,,1,,277500.0,0,0,0.0,0,0,AS_NEW,0,0,0,,60.0,,
6691,4,APARTMENT,TRIPLEX,Wavre,1300,,,,1,2.0,465000.0,0,1,25.0,0,0,AS_NEW,1,225,0,,194.0,,UnderOption
1977,3,HOUSE,HOUSE,Ans,4430,Avenue de l'union,57,,0,2.0,279000.0,0,0,0.0,0,0,,0,0,0,229.0,164.0,229.0,
1332,3,HOUSE,HOUSE,Aarschot Langdorp,3201,Kapellestraat,5,,1,4.0,275000.0,0,1,,0,0,TO_RENOVATE,0,0,0,838.0,122.0,838.0,
991,3,APARTMENT,APARTMENT,Anderlecht,1070,Avenue des Missionnaires,41,,1,3.0,240000.0,0,1,25.0,0,0,TO_RENOVATE,0,0,0,,94.0,,UnderOption
11583,3,APARTMENT,APARTMENT,Woluwe-Saint-Pierre,1150,,,,1,,715000.0,0,1,23.0,0,0,AS_NEW,0,0,0,,140.0,,
18858,6,HOUSE,VILLA,Uccle,1180,,,,1,4.0,3090000.0,0,1,230.0,0,0,,1,700,0,2400.0,840.0,2400.0,
18366,4,HOUSE,VILLA,Ohain,1380,,,,1,4.0,1400000.0,0,1,38.0,0,0,AS_NEW,0,0,1,3278.0,275.0,3278.0,
9934,3,HOUSE,HOUSE,Mechelen,2800,Liersesteenweg,376,,0,,445000.0,0,1,,0,0,JUST_RENOVATED,0,0,0,510.0,148.0,510.0,
